date,sku,store,value
2024-01-01,SKU-001,NYC,120
2024-01-02,SKU-001,NYC,135
2024-01-03,SKU-001,NYC,128
2024-01-04,SKU-001,NYC,142
2024-01-05,SKU-001,NYC,160
2024-01-06,SKU-001,NYC,200
2024-01-07,SKU-001,NYC,210
2024-01-08,SKU-001,NYC,140
2024-01-09,SKU-001,NYC,138
2024-01-10,SKU-001,NYC,150
2024-01-11,SKU-001,NYC,165
2024-01-12,SKU-001,NYC,180
2024-01-13,SKU-001,NYC,220
2024-01-14,SKU-001,NYC,225
2024-01-15,SKU-001,NYC,148
2024-01-16,SKU-001,NYC,142
2024-01-17,SKU-001,NYC,155
2024-01-18,SKU-001,NYC,168
2024-01-19,SKU-001,NYC,185
2024-01-20,SKU-001,NYC,218
2024-01-21,SKU-001,NYC,230
2024-01-22,SKU-001,NYC,150
2024-01-23,SKU-001,NYC,145
2024-01-24,SKU-001,NYC,160
2024-01-25,SKU-001,NYC,172
2024-01-26,SKU-001,NYC,190
2024-01-27,SKU-001,NYC,225
2024-01-28,SKU-001,NYC,240
2024-01-29,SKU-001,NYC,155
2024-01-30,SKU-001,NYC,148
