date,channel,spend,reach,impressions
2022-01-01,TV,1104.34,88595,159349
2022-01-01,Digital,651.91,120561,527521
2022-01-01,Social,320.42,86171,186947
2022-01-01,Search,164.50,31105,71723
2022-01-02,TV,1458.64,115039,210284
2022-01-02,Digital,639.54,124516,527205
2022-01-02,Social,305.83,71820,197444
2022-01-02,Search,214.33,35580,93352
2022-01-03,TV,1786.98,141456,282508
2022-01-03,Digital,941.60,192642,788906
2022-01-03,Social,514.57,131750,328230
2022-01-03,Search,254.05,41932,100368
2022-01-04,TV,1634.99,124073,235118
2022-01-04,Digital,589.19,121173,494192
2022-01-04,Social,404.50,108558,245371
2022-01-04,Search,263.29,46249,98358
2022-01-05,TV,1816.71,151563,280956
2022-01-05,Digital,847.22,154559,724786
2022-01-05,Social,371.41,88152,202418
2022-01-05,Search,238.44,41450,97957
2022-01-06,TV,1893.20,160326,268619
2022-01-06,Digital,821.67,171538,657739
2022-01-06,Social,474.47,112199,304483
2022-01-06,Search,306.23,59322,110532
2022-01-07,TV,1872.22,158399,294329
2022-01-07,Digital,604.50,121256,504413
2022-01-07,Social,363.54,87006,235792
2022-01-07,Search,289.84,55746,112350
2022-01-08,TV,1266.10,109731,207216
2022-01-08,Digital,661.59,126010,521599
2022-01-08,Social,335.50,84464,195732
2022-01-08,Search,181.89,29897,74250
2022-01-09,TV,1258.71,101753,170513
2022-01-09,Digital,738.56,153213,621056
2022-01-09,Social,342.70,81236,209559
2022-01-09,Search,157.78,26396,62564
2022-01-10,TV,1229.27,105700,193069
2022-01-10,Digital,786.07,166770,637398
2022-01-10,Social,345.77,86694,193149
2022-01-10,Search,286.49,55556,118964
2022-01-11,TV,2271.08,174946,346029
2022-01-11,Digital,928.39,172042,739639
2022-01-11,Social,410.21,95118,240064
2022-01-11,Search,305.51,49892,112170
2022-01-12,TV,1535.52,128926,224861
2022-01-12,Digital,630.48,119858,480963
2022-01-12,Social,519.08,133630,317205
2022-01-12,Search,220.94,37086,83699
2022-01-13,TV,1477.47,129445,243132
2022-01-13,Digital,766.11,158111,612887
2022-01-13,Social,330.31,89904,200823
2022-01-13,Search,308.67,60932,123889
2022-01-14,TV,1503.25,122137,244614
2022-01-14,Digital,785.66,146692,580904
2022-01-14,Social,425.29,100582,275026
2022-01-14,Search,256.79,41750,106653
2022-01-15,TV,1057.56,78083,171643
2022-01-15,Digital,664.55,133121,545612
2022-01-15,Social,291.60,77302,174287
2022-01-15,Search,166.60,29306,60126
2022-01-16,TV,1866.93,145550,296665
2022-01-16,Digital,895.03,171442,775774
2022-01-16,Social,456.99,124040,282415
2022-01-16,Search,333.87,61793,122464
2022-01-17,TV,2107.55,168017,311147
2022-01-17,Digital,1101.97,231460,944378
2022-01-17,Social,552.81,132931,355987
