date,competitor_name,competitor_price,market_share_pct,promotion_active
2024-01-01,CompetitorA,9.50,28,0
2024-01-02,CompetitorA,9.50,28,0
2024-01-03,CompetitorA,8.90,30,1
2024-01-04,CompetitorA,9.50,28,0
2024-01-05,CompetitorA,9.00,29,0
2024-01-06,CompetitorA,8.50,32,1
2024-01-07,CompetitorA,9.50,28,0
2024-01-08,CompetitorA,9.50,28,0
2024-01-09,CompetitorA,9.00,29,0
2024-01-10,CompetitorA,9.50,28,0
2024-01-01,CompetitorB,24.00,22,0
2024-01-02,CompetitorB,24.00,22,0
2024-01-03,CompetitorB,24.00,22,0
2024-01-04,CompetitorB,22.00,25,1
2024-01-05,CompetitorB,24.00,22,0
2024-01-06,CompetitorB,21.00,27,1
2024-01-07,CompetitorB,24.00,22,0
2024-01-08,CompetitorB,24.00,22,0
2024-01-09,CompetitorB,24.00,22,0
2024-01-10,CompetitorB,22.50,24,1
