date,name,country,impact
2022-01-01,New Year's Day,US,1.5
2022-01-17,Martin Luther King Jr.,US,1.2
2022-02-21,Presidents' Day,US,1.2
2022-05-30,Memorial Day,US,1.6
2022-07-04,Independence Day,US,1.8
2022-09-05,Labor Day,US,1.5
2022-11-24,Thanksgiving,US,2.2
2022-11-25,Black Friday,US,3.0
2022-11-28,Cyber Monday,US,2.8
2022-12-25,Christmas Day,US,1.3
2023-01-01,New Year's Day,US,1.5
2023-07-04,Independence Day,US,1.8
2023-11-23,Thanksgiving,US,2.2
2023-11-24,Black Friday,US,3.0
2023-11-27,Cyber Monday,US,2.8
2023-12-25,Christmas Day,US,1.3
2024-01-01,New Year's Day,US,1.5
2024-07-04,Independence Day,US,1.8
2024-11-28,Thanksgiving,US,2.2
2024-11-29,Black Friday,US,3.0
2024-12-02,Cyber Monday,US,2.8
2024-12-25,Christmas Day,US,1.3
2022-04-15,Good Friday,UK,1.6
2022-04-18,Easter Monday,UK,1.4
2022-08-29,Summer Bank Holiday,UK,1.5
2022-12-26,Boxing Day,UK,2.0
2023-04-07,Good Friday,UK,1.6
2023-04-10,Easter Monday,UK,1.4
2023-12-26,Boxing Day,UK,2.0
2024-03-29,Good Friday,UK,1.6
2024-04-01,Easter Monday,UK,1.4
2022-10-24,Diwali,IN,2.5
2022-11-08,Dhanteras,IN,1.8
2023-11-12,Diwali,IN,2.5
2023-11-10,Dhanteras,IN,1.8
2024-11-01,Diwali,IN,2.5
2024-10-29,Dhanteras,IN,1.8
