date,sku,store,value
2022-01-01,SKU001,NYC,538.13
2022-01-01,SKU001,LA,447.13
2022-01-01,SKU001,CHI,359.95
2022-01-01,SKU002,NYC,409.03
2022-01-01,SKU002,LA,314.44
2022-01-01,SKU002,CHI,216.65
2022-01-01,SKU003,NYC,733.39
2022-01-01,SKU003,LA,575.69
2022-01-01,SKU003,CHI,462.93
2022-01-01,SKU004,NYC,469.48
2022-01-01,SKU004,LA,395.73
2022-01-01,SKU004,CHI,345.40
2022-01-01,SKU005,NYC,669.13
2022-01-01,SKU005,LA,529.03
2022-01-01,SKU005,CHI,387.69
2022-01-02,SKU001,NYC,350.54
2022-01-02,SKU001,LA,333.11
2022-01-02,SKU001,CHI,294.18
2022-01-02,SKU002,NYC,274.21
2022-01-02,SKU002,LA,225.14
2022-01-02,SKU002,CHI,191.73
2022-01-02,SKU003,NYC,433.47
2022-01-02,SKU003,LA,409.46
2022-01-02,SKU003,CHI,354.71
2022-01-02,SKU004,NYC,360.53
2022-01-02,SKU004,LA,269.66
2022-01-02,SKU004,CHI,229.37
2022-01-02,SKU005,NYC,459.86
2022-01-02,SKU005,LA,403.19
2022-01-02,SKU005,CHI,265.85
2022-01-03,SKU001,NYC,269.66
2022-01-03,SKU001,LA,180.43
2022-01-03,SKU001,CHI,125.54
2022-01-03,SKU002,NYC,167.75
2022-01-03,SKU002,LA,135.20
2022-01-03,SKU002,CHI,129.49
2022-01-03,SKU003,NYC,353.79
2022-01-03,SKU003,LA,242.76
2022-01-03,SKU003,CHI,239.91
2022-01-03,SKU004,NYC,195.11
2022-01-03,SKU004,LA,179.14
2022-01-03,SKU004,CHI,140.31
2022-01-03,SKU005,NYC,296.90
2022-01-03,SKU005,LA,264.64
2022-01-03,SKU005,CHI,208.19
2022-01-04,SKU001,NYC,264.17
2022-01-04,SKU001,LA,226.52
2022-01-04,SKU001,CHI,178.30
2022-01-04,SKU002,NYC,167.44
2022-01-04,SKU002,LA,138.19
2022-01-04,SKU002,CHI,113.50
2022-01-04,SKU003,NYC,348.45
2022-01-04,SKU003,LA,269.65
2022-01-04,SKU003,CHI,272.93
2022-01-04,SKU004,NYC,199.12
2022-01-04,SKU004,LA,160.88
2022-01-04,SKU004,CHI,155.70
2022-01-04,SKU005,NYC,335.45
2022-01-04,SKU005,LA,257.12
2022-01-04,SKU005,CHI,212.16
2022-01-05,SKU001,NYC,291.73
2022-01-05,SKU001,LA,210.76
2022-01-05,SKU001,CHI,145.99
2022-01-05,SKU002,NYC,169.18
2022-01-05,SKU002,LA,163.09
2022-01-05,SKU002,CHI,101.93
2022-01-05,SKU003,NYC,333.12
2022-01-05,SKU003,LA,283.68
2022-01-05,SKU003,CHI,214.35
2022-01-05,SKU004,NYC,232.63
2022-01-05,SKU004,LA,191.28
2022-01-05,SKU004,CHI,178.19
2022-01-05,SKU005,NYC,312.05
2022-01-05,SKU005,LA,229.94
2022-01-05,SKU005,CHI,184.89
2022-01-06,SKU001,NYC,275.48
2022-01-06,SKU001,LA,274.23
2022-01-06,SKU001,CHI,188.96
2022-01-06,SKU002,NYC,208.80
2022-01-06,SKU002,LA,188.36
2022-01-06,SKU002,CHI,130.04
2022-01-06,SKU003,NYC,379.27
2022-01-06,SKU003,LA,265.67
2022-01-06,SKU003,CHI,232.30
2022-01-06,SKU004,NYC,240.78
2022-01-06,SKU004,LA,221.57
2022-01-06,SKU004,CHI,190.49
2022-01-06,SKU005,NYC,345.22
2022-01-06,SKU005,LA,295.75
2022-01-06,SKU005,CHI,234.45
2022-01-07,SKU001,NYC,333.16
2022-01-07,SKU001,LA,272.84
2022-01-07,SKU001,CHI,205.86
2022-01-07,SKU002,NYC,189.07
2022-01-07,SKU002,LA,191.11
2022-01-07,SKU002,CHI,145.56
2022-01-07,SKU003,NYC,438.86
2022-01-07,SKU003,LA,324.77
2022-01-07,SKU003,CHI,311.49
2022-01-07,SKU004,NYC,246.16
2022-01-07,SKU004,LA,246.66
2022-01-07,SKU004,CHI,172.17
2022-01-07,SKU005,NYC,328.17
2022-01-07,SKU005,LA,255.82
2022-01-07,SKU005,CHI,227.21
2022-01-08,SKU001,NYC,446.48
2022-01-08,SKU001,LA,352.30
2022-01-08,SKU001,CHI,278.52
2022-01-08,SKU002,NYC,208.52
2022-01-08,SKU002,LA,244.12
2022-01-08,SKU002,CHI,192.47
2022-01-08,SKU003,NYC,480.40
2022-01-08,SKU003,LA,397.06
2022-01-08,SKU003,CHI,338.83
2022-01-08,SKU004,NYC,389.25
2022-01-08,SKU004,LA,247.47
2022-01-08,SKU004,CHI,211.86
2022-01-08,SKU005,NYC,511.36
2022-01-08,SKU005,LA,358.32
2022-01-08,SKU005,CHI,289.12
2022-01-09,SKU001,NYC,394.79
2022-01-09,SKU001,LA,285.37
2022-01-09,SKU001,CHI,266.38
2022-01-09,SKU002,NYC,240.48
2022-01-09,SKU002,LA,248.16
2022-01-09,SKU002,CHI,182.44
2022-01-09,SKU003,NYC,624.68
2022-01-09,SKU003,LA,435.70
2022-01-09,SKU003,CHI,385.34
2022-01-09,SKU004,NYC,288.78
2022-01-09,SKU004,LA,273.34
2022-01-09,SKU004,CHI,228.53
2022-01-09,SKU005,NYC,528.90
2022-01-09,SKU005,LA,312.17
2022-01-09,SKU005,CHI,329.93
2022-01-10,SKU001,NYC,270.83
2022-01-10,SKU001,LA,245.77
2022-01-10,SKU001,CHI,182.62
2022-01-10,SKU002,NYC,179.85
2022-01-10,SKU002,LA,141.32
2022-01-10,SKU002,CHI,104.39
2022-01-10,SKU003,NYC,339.14
2022-01-10,SKU003,LA,271.89
2022-01-10,SKU003,CHI,266.56
2022-01-10,SKU004,NYC,203.89
2022-01-10,SKU004,LA,186.77
2022-01-10,SKU004,CHI,122.06
2022-01-10,SKU005,NYC,282.92
2022-01-10,SKU005,LA,251.89
2022-01-10,SKU005,CHI,212.56
2022-01-11,SKU001,NYC,312.36
2022-01-11,SKU001,LA,226.37
2022-01-11,SKU001,CHI,161.57
2022-01-11,SKU002,NYC,199.64
2022-01-11,SKU002,LA,167.31
2022-01-11,SKU002,CHI,133.52
2022-01-11,SKU003,NYC,330.10
2022-01-11,SKU003,LA,329.32
2022-01-11,SKU003,CHI,238.72
2022-01-11,SKU004,NYC,247.90
2022-01-11,SKU004,LA,217.67
2022-01-11,SKU004,CHI,163.87
2022-01-11,SKU005,NYC,323.37
2022-01-11,SKU005,LA,318.37
2022-01-11,SKU005,CHI,214.68
2022-01-12,SKU001,NYC,264.85
2022-01-12,SKU001,LA,229.99
2022-01-12,SKU001,CHI,208.93
2022-01-12,SKU002,NYC,193.21
2022-01-12,SKU002,LA,167.39
2022-01-12,SKU002,CHI,142.52
2022-01-12,SKU003,NYC,336.88
2022-01-12,SKU003,LA,244.82
2022-01-12,SKU003,CHI,243.82
2022-01-12,SKU004,NYC,237.06
2022-01-12,SKU004,LA,181.37
2022-01-12,SKU004,CHI,167.95
2022-01-12,SKU005,NYC,333.63
2022-01-12,SKU005,LA,236.02
2022-01-12,SKU005,CHI,220.55
2022-01-13,SKU001,NYC,314.89
2022-01-13,SKU001,LA,227.97
2022-01-13,SKU001,CHI,223.83
2022-01-13,SKU002,NYC,223.69
2022-01-13,SKU002,LA,173.30
2022-01-13,SKU002,CHI,157.64
2022-01-13,SKU003,NYC,438.31
2022-01-13,SKU003,LA,328.15
2022-01-13,SKU003,CHI,289.76
2022-01-13,SKU004,NYC,300.37
2022-01-13,SKU004,LA,211.05
2022-01-13,SKU004,CHI,188.72
2022-01-13,SKU005,NYC,370.31
2022-01-13,SKU005,LA,378.42
2022-01-13,SKU005,CHI,200.84
2022-01-14,SKU001,NYC,343.63
2022-01-14,SKU001,LA,259.54
2022-01-14,SKU001,CHI,212.05
2022-01-14,SKU002,NYC,267.50
2022-01-14,SKU002,LA,187.14
2022-01-14,SKU002,CHI,183.42
2022-01-14,SKU003,NYC,399.59
2022-01-14,SKU003,LA,360.61
2022-01-14,SKU003,CHI,265.04
2022-01-14,SKU004,NYC,253.91
2022-01-14,SKU004,LA,228.71
2022-01-14,SKU004,CHI,176.69
2022-01-14,SKU005,NYC,377.90
2022-01-14,SKU005,LA,243.69
2022-01-14,SKU005,CHI,296.38
2022-01-15,SKU001,NYC,410.83
2022-01-15,SKU001,LA,408.86
2022-01-15,SKU001,CHI,250.49
2022-01-15,SKU002,NYC,300.82
2022-01-15,SKU002,LA,320.64
2022-01-15,SKU002,CHI,177.90
2022-01-15,SKU003,NYC,462.40
2022-01-15,SKU003,LA,428.33
2022-01-15,SKU003,CHI,379.60
2022-01-15,SKU004,NYC,379.23
2022-01-15,SKU004,LA,333.67
2022-01-15,SKU004,CHI,230.35
2022-01-15,SKU005,NYC,404.57
2022-01-15,SKU005,LA,384.00
2022-01-15,SKU005,CHI,361.00
2022-01-16,SKU001,NYC,437.40
2022-01-16,SKU001,LA,280.13
2022-01-16,SKU001,CHI,277.65
2022-01-16,SKU002,NYC,333.22
2022-01-16,SKU002,LA,295.42
2022-01-16,SKU002,CHI,205.84
2022-01-16,SKU003,NYC,560.74
2022-01-16,SKU003,LA,397.05
2022-01-16,SKU003,CHI,332.03
2022-01-16,SKU004,NYC,356.38
2022-01-16,SKU004,LA,310.47
2022-01-16,SKU004,CHI,250.20
2022-01-16,SKU005,NYC,458.95
2022-01-16,SKU005,LA,355.39
2022-01-16,SKU005,CHI,296.34
2022-01-17,SKU001,NYC,241.73
2022-01-17,SKU001,LA,242.45
2022-01-17,SKU001,CHI,140.10
2022-01-17,SKU002,NYC,184.82
2022-01-17,SKU002,LA,166.50
2022-01-17,SKU002,CHI,146.86
2022-01-17,SKU003,NYC,358.31
2022-01-17,SKU003,LA,326.16
2022-01-17,SKU003,CHI,227.72
2022-01-17,SKU004,NYC,214.71
2022-01-17,SKU004,LA,180.28
2022-01-17,SKU004,CHI,178.27
2022-01-17,SKU005,NYC,346.66
2022-01-17,SKU005,LA,275.56
2022-01-17,SKU005,CHI,280.21
2022-01-18,SKU001,NYC,272.55
2022-01-18,SKU001,LA,242.00
2022-01-18,SKU001,CHI,187.90
2022-01-18,SKU002,NYC,187.00
2022-01-18,SKU002,LA,196.29
2022-01-18,SKU002,CHI,146.71
2022-01-18,SKU003,NYC,306.10
2022-01-18,SKU003,LA,284.73
2022-01-18,SKU003,CHI,247.43
2022-01-18,SKU004,NYC,250.20
2022-01-18,SKU004,LA,167.28
2022-01-18,SKU004,CHI,119.80
2022-01-18,SKU005,NYC,255.33
2022-01-18,SKU005,LA,261.02
2022-01-18,SKU005,CHI,208.14
2022-01-19,SKU001,NYC,282.97
2022-01-19,SKU001,LA,210.39
2022-01-19,SKU001,CHI,160.03
2022-01-19,SKU002,NYC,152.60
2022-01-19,SKU002,LA,164.66
2022-01-19,SKU002,CHI,132.25
2022-01-19,SKU003,NYC,391.40
2022-01-19,SKU003,LA,320.17
2022-01-19,SKU003,CHI,232.84
2022-01-19,SKU004,NYC,263.39
2022-01-19,SKU004,LA,190.76
2022-01-19,SKU004,CHI,144.49
2022-01-19,SKU005,NYC,299.19
2022-01-19,SKU005,LA,247.64
2022-01-19,SKU005,CHI,164.85
2022-01-20,SKU001,NYC,326.92
2022-01-20,SKU001,LA,274.95
2022-01-20,SKU001,CHI,206.82
2022-01-20,SKU002,NYC,209.04
2022-01-20,SKU002,LA,194.57
2022-01-20,SKU002,CHI,175.84
2022-01-20,SKU003,NYC,420.64
2022-01-20,SKU003,LA,331.47
2022-01-20,SKU003,CHI,262.83
2022-01-20,SKU004,NYC,271.19
2022-01-20,SKU004,LA,198.79
2022-01-20,SKU004,CHI,179.78
2022-01-20,SKU005,NYC,373.78
2022-01-20,SKU005,LA,366.70
2022-01-20,SKU005,CHI,271.04
2022-01-21,SKU001,NYC,355.29
2022-01-21,SKU001,LA,249.20
2022-01-21,SKU001,CHI,229.04
2022-01-21,SKU002,NYC,199.52
2022-01-21,SKU002,LA,193.50
2022-01-21,SKU002,CHI,156.40
2022-01-21,SKU003,NYC,387.07
2022-01-21,SKU003,LA,419.17
2022-01-21,SKU003,CHI,295.32
2022-01-21,SKU004,NYC,221.18
2022-01-21,SKU004,LA,240.21
2022-01-21,SKU004,CHI,174.68
2022-01-21,SKU005,NYC,371.74
2022-01-21,SKU005,LA,324.17
2022-01-21,SKU005,CHI,257.47
2022-01-22,SKU001,NYC,333.34
2022-01-22,SKU001,LA,308.52
2022-01-22,SKU001,CHI,300.71
2022-01-22,SKU002,NYC,330.90
2022-01-22,SKU002,LA,290.44
2022-01-22,SKU002,CHI,230.40
2022-01-22,SKU003,NYC,433.10
2022-01-22,SKU003,LA,489.26
2022-01-22,SKU003,CHI,293.80
2022-01-22,SKU004,NYC,412.48
2022-01-22,SKU004,LA,303.47
2022-01-22,SKU004,CHI,209.76
2022-01-22,SKU005,NYC,580.61
2022-01-22,SKU005,LA,428.81
2022-01-22,SKU005,CHI,261.34
2022-01-23,SKU001,NYC,431.14
2022-01-23,SKU001,LA,323.52
2022-01-23,SKU001,CHI,282.34
2022-01-23,SKU002,NYC,279.25
2022-01-23,SKU002,LA,277.59
2022-01-23,SKU002,CHI,167.46
2022-01-23,SKU003,NYC,562.68
2022-01-23,SKU003,LA,536.93
2022-01-23,SKU003,CHI,333.51
2022-01-23,SKU004,NYC,362.73
2022-01-23,SKU004,LA,302.02
2022-01-23,SKU004,CHI,220.49
2022-01-23,SKU005,NYC,515.02
2022-01-23,SKU005,LA,406.98
2022-01-23,SKU005,CHI,292.02
2022-01-24,SKU001,NYC,322.22
2022-01-24,SKU001,LA,246.36
2022-01-24,SKU001,CHI,179.58
2022-01-24,SKU002,NYC,179.35
2022-01-24,SKU002,LA,147.10
2022-01-24,SKU002,CHI,143.42
2022-01-24,SKU003,NYC,351.50
2022-01-24,SKU003,LA,310.93
2022-01-24,SKU003,CHI,233.43
2022-01-24,SKU004,NYC,246.64
2022-01-24,SKU004,LA,191.36
2022-01-24,SKU004,CHI,166.71
2022-01-24,SKU005,NYC,310.61
2022-01-24,SKU005,LA,285.55
2022-01-24,SKU005,CHI,225.12
2022-01-25,SKU001,NYC,270.84
2022-01-25,SKU001,LA,208.73
2022-01-25,SKU001,CHI,165.51
2022-01-25,SKU002,NYC,177.40
2022-01-25,SKU002,LA,143.94
2022-01-25,SKU002,CHI,138.79
2022-01-25,SKU003,NYC,355.20
2022-01-25,SKU003,LA,344.08
2022-01-25,SKU003,CHI,292.14
2022-01-25,SKU004,NYC,232.93
2022-01-25,SKU004,LA,163.67
2022-01-25,SKU004,CHI,149.01
2022-01-25,SKU005,NYC,314.18
2022-01-25,SKU005,LA,224.54
2022-01-25,SKU005,CHI,205.76
2022-01-26,SKU001,NYC,281.98
2022-01-26,SKU001,LA,217.94
2022-01-26,SKU001,CHI,168.70
2022-01-26,SKU002,NYC,177.10
2022-01-26,SKU002,LA,188.24
2022-01-26,SKU002,CHI,125.72
2022-01-26,SKU003,NYC,327.37
2022-01-26,SKU003,LA,286.41
2022-01-26,SKU003,CHI,260.71
2022-01-26,SKU004,NYC,216.51
2022-01-26,SKU004,LA,203.02
2022-01-26,SKU004,CHI,166.23
2022-01-26,SKU005,NYC,340.45
2022-01-26,SKU005,LA,300.88
2022-01-26,SKU005,CHI,199.53
2022-01-27,SKU001,NYC,359.13
2022-01-27,SKU001,LA,247.51
2022-01-27,SKU001,CHI,206.53
2022-01-27,SKU002,NYC,252.50
2022-01-27,SKU002,LA,203.39
2022-01-27,SKU002,CHI,150.38
2022-01-27,SKU003,NYC,370.10
2022-01-27,SKU003,LA,369.80
2022-01-27,SKU003,CHI,262.45
2022-01-27,SKU004,NYC,248.23
2022-01-27,SKU004,LA,213.14
2022-01-27,SKU004,CHI,186.82
2022-01-27,SKU005,NYC,293.73
2022-01-27,SKU005,LA,321.88
2022-01-27,SKU005,CHI,252.86
2022-01-28,SKU001,NYC,303.83
2022-01-28,SKU001,LA,296.79
2022-01-28,SKU001,CHI,228.28
2022-01-28,SKU002,NYC,211.91
2022-01-28,SKU002,LA,175.39
2022-01-28,SKU002,CHI,160.84
2022-01-28,SKU003,NYC,356.60
2022-01-28,SKU003,LA,338.62
2022-01-28,SKU003,CHI,262.53
2022-01-28,SKU004,NYC,275.46
2022-01-28,SKU004,LA,232.77
2022-01-28,SKU004,CHI,183.04
2022-01-28,SKU005,NYC,415.32
2022-01-28,SKU005,LA,317.92
2022-01-28,SKU005,CHI,240.83
2022-01-29,SKU001,NYC,368.82
2022-01-29,SKU001,LA,374.93
2022-01-29,SKU001,CHI,294.53
2022-01-29,SKU002,NYC,335.89
2022-01-29,SKU002,LA,226.17
2022-01-29,SKU002,CHI,196.07
2022-01-29,SKU003,NYC,543.42
2022-01-29,SKU003,LA,451.53
2022-01-29,SKU003,CHI,364.80
2022-01-29,SKU004,NYC,294.71
2022-01-29,SKU004,LA,320.86
2022-01-29,SKU004,CHI,252.62
2022-01-29,SKU005,NYC,539.98
2022-01-29,SKU005,LA,495.22
2022-01-29,SKU005,CHI,313.11
2022-01-30,SKU001,NYC,418.24
2022-01-30,SKU001,LA,350.14
2022-01-30,SKU001,CHI,334.19
2022-01-30,SKU002,NYC,242.62
2022-01-30,SKU002,LA,256.39
2022-01-30,SKU002,CHI,166.84
2022-01-30,SKU003,NYC,405.67
2022-01-30,SKU003,LA,363.61
2022-01-30,SKU003,CHI,314.18
2022-01-30,SKU004,NYC,393.80
2022-01-30,SKU004,LA,270.73
2022-01-30,SKU004,CHI,231.78
2022-01-30,SKU005,NYC,428.90
2022-01-30,SKU005,LA,429.19
2022-01-30,SKU005,CHI,287.93
2022-01-31,SKU001,NYC,310.72
2022-01-31,SKU001,LA,206.07
2022-01-31,SKU001,CHI,169.03
2022-01-31,SKU002,NYC,194.25
2022-01-31,SKU002,LA,160.31
2022-01-31,SKU002,CHI,146.16
2022-01-31,SKU003,NYC,361.99
2022-01-31,SKU003,LA,262.07
2022-01-31,SKU003,CHI,225.09
2022-01-31,SKU004,NYC,219.34
2022-01-31,SKU004,LA,207.95
2022-01-31,SKU004,CHI,161.06
2022-01-31,SKU005,NYC,313.73
2022-01-31,SKU005,LA,287.61
2022-01-31,SKU005,CHI,200.49
2022-02-01,SKU001,NYC,459.51
2022-02-01,SKU001,LA,395.23
2022-02-01,SKU001,CHI,358.03
2022-02-01,SKU002,NYC,322.39
2022-02-01,SKU002,LA,261.82
2022-02-01,SKU002,CHI,194.37
2022-02-01,SKU003,NYC,648.62
2022-02-01,SKU003,LA,476.09
2022-02-01,SKU003,CHI,418.56
2022-02-01,SKU004,NYC,319.69
2022-02-01,SKU004,LA,363.28
2022-02-01,SKU004,CHI,228.12
2022-02-01,SKU005,NYC,496.99
2022-02-01,SKU005,LA,496.61
2022-02-01,SKU005,CHI,311.31
2022-02-02,SKU001,NYC,461.02
2022-02-02,SKU001,LA,390.13
2022-02-02,SKU001,CHI,278.87
2022-02-02,SKU002,NYC,368.40
2022-02-02,SKU002,LA,311.22
2022-02-02,SKU002,CHI,173.83
2022-02-02,SKU003,NYC,517.78
2022-02-02,SKU003,LA,545.38
2022-02-02,SKU003,CHI,351.08
2022-02-02,SKU004,NYC,378.44
2022-02-02,SKU004,LA,332.37
2022-02-02,SKU004,CHI,280.66
2022-02-02,SKU005,NYC,525.65
2022-02-02,SKU005,LA,452.31
2022-02-02,SKU005,CHI,330.60
2022-02-03,SKU001,NYC,615.82
2022-02-03,SKU001,LA,431.94
2022-02-03,SKU001,CHI,375.91
2022-02-03,SKU002,NYC,361.62
2022-02-03,SKU002,LA,320.97
2022-02-03,SKU002,CHI,249.80
2022-02-03,SKU003,NYC,699.09
2022-02-03,SKU003,LA,532.16
2022-02-03,SKU003,CHI,511.49
2022-02-03,SKU004,NYC,527.35
2022-02-03,SKU004,LA,394.38
2022-02-03,SKU004,CHI,330.57
2022-02-03,SKU005,NYC,683.95
2022-02-03,SKU005,LA,574.68
2022-02-03,SKU005,CHI,433.47
2022-02-04,SKU001,NYC,555.48
2022-02-04,SKU001,LA,492.44
2022-02-04,SKU001,CHI,365.12
2022-02-04,SKU002,NYC,343.10
2022-02-04,SKU002,LA,317.52
2022-02-04,SKU002,CHI,205.56
2022-02-04,SKU003,NYC,708.44
2022-02-04,SKU003,LA,615.13
2022-02-04,SKU003,CHI,530.98
2022-02-04,SKU004,NYC,467.75
2022-02-04,SKU004,LA,419.63
2022-02-04,SKU004,CHI,307.17
2022-02-04,SKU005,NYC,565.12
2022-02-04,SKU005,LA,450.59
2022-02-04,SKU005,CHI,379.00
2022-02-05,SKU001,NYC,608.91
2022-02-05,SKU001,LA,624.96
2022-02-05,SKU001,CHI,460.41
2022-02-05,SKU002,NYC,520.94
2022-02-05,SKU002,LA,413.71
2022-02-05,SKU002,CHI,362.86
2022-02-05,SKU003,NYC,1016.62
2022-02-05,SKU003,LA,716.54
2022-02-05,SKU003,CHI,595.97
2022-02-05,SKU004,NYC,565.56
2022-02-05,SKU004,LA,417.11
2022-02-05,SKU004,CHI,425.15
2022-02-05,SKU005,NYC,913.49
2022-02-05,SKU005,LA,679.92
2022-02-05,SKU005,CHI,517.44
2022-02-06,SKU001,NYC,780.11
2022-02-06,SKU001,LA,448.70
2022-02-06,SKU001,CHI,477.24
2022-02-06,SKU002,NYC,498.53
2022-02-06,SKU002,LA,386.19
2022-02-06,SKU002,CHI,373.26
2022-02-06,SKU003,NYC,1005.77
2022-02-06,SKU003,LA,744.03
2022-02-06,SKU003,CHI,605.88
2022-02-06,SKU004,NYC,572.62
2022-02-06,SKU004,LA,471.02
2022-02-06,SKU004,CHI,345.20
2022-02-06,SKU005,NYC,926.79
2022-02-06,SKU005,LA,748.44
2022-02-06,SKU005,CHI,586.27
2022-02-07,SKU001,NYC,408.46
2022-02-07,SKU001,LA,461.74
2022-02-07,SKU001,CHI,366.31
2022-02-07,SKU002,NYC,326.49
2022-02-07,SKU002,LA,242.91
